,,Message,Target
Yelp,0,Crust is not good.,0
Yelp,1,Not tasty and the texture was just nasty.,0
Yelp,2,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1
Yelp,3,The selection on the menu was great and so were the prices.,1
Yelp,4,Now I am getting angry and I want my damn pho.,0
Yelp,5,Honeslty it didn't taste THAT fresh.),0
Yelp,6,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0
Yelp,7,The fries were great too.,1
Yelp,8,A great touch.,1
Yelp,9,Service was very prompt.,1
Yelp,10,Would not go back.,0
Yelp,11,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0
Yelp,12,"I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!",1
Yelp,13,I was disgusted because I was pretty sure that was human hair.,0
Yelp,14,I was shocked because no signs indicate cash only.,0
Yelp,15,Highly recommended.,1
Yelp,16,Waitress was a little slow in service.,0
Yelp,17,"This place is not worth your time, let alone Vegas.",0
Yelp,18,did not like at all.,0
Yelp,19,The Burrittos Blah!,0
Yelp,20,"The food, amazing.",1
Yelp,21,Service is also cute.,1
Yelp,22,I could care less... The interior is just beautiful.,1
Yelp,23,So they performed.,1
Yelp,24,That's right....the red velvet cake.....ohhh this stuff is so good.,1
Yelp,25,- They never brought a salad we asked for.,0
Yelp,26,"This hole in the wall has great Mexican street tacos, and friendly staff.",1
Yelp,27,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0
Yelp,28,The worst was the salmon sashimi.,0
Yelp,29,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1
Yelp,30,This was like the final blow!,0
Yelp,31,I found this place by accident and I could not be happier.,1
Yelp,32,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0
Yelp,33,"Overall, I like this place a lot.",1
Yelp,34,The only redeeming quality of the restaurant was that it was very inexpensive.,1
Yelp,35,Ample portions and good prices.,1
Yelp,36,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0
Yelp,37,My first visit to Hiro was a delight!,1
Yelp,38,Service sucks.,0
Yelp,39,The shrimp tender and moist.,1
Yelp,40,There is not a deal good enough that would drag me into that establishment again.,0
Yelp,41,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0
Yelp,42,"On a positive note, our server was very attentive and provided great service.",1
Yelp,43,"Frozen pucks of disgust, with some of the worst people behind the register.",0
Yelp,44,The only thing I did like was the prime rib and dessert section.,1
Yelp,45,It's too bad the food is so damn generic.,0
Yelp,46,"The burger is good beef, cooked just right.",1
Yelp,47,If you want a sandwich just go to any Firehouse!!!!!,1
Yelp,48,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1
Yelp,49,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1
Yelp,50,He came running after us when he realized my husband had left his sunglasses on the table.,1
Yelp,51,Their chow mein is so good!,1
