,clean_tweet,class,labels
0,  look at what you just said lls new era girl bye kill bitches w kindness ampamp wht cousin,1,offensive
1,driving the fucktardmobile  tranny slips and all   httptco8e3kxegmjo,1,offensive
2, if i ever put ma trust ina bitch  i will always be hurt   ,1,offensive
3,stop twatching me bitch,1,offensive
4,      you know bitches be mad when they be like i am my own  ,1,offensive
5,u got a twin bed yo bitch ass better not invite her over to yo crib u better off sleeping on a futon my boy,1,offensive
6,    dc fri 13 bengali harlem amp lost histories south asian am readingconvo   14th st cc     ,0,non_offensive
7,only get loud around ya team ass bitch   ,1,offensive
8,    this bitch does so begrudgingly as fuck was likeman up you a big bad man crying like a bitch,1,offensive
9,breakfast of champions shrimp lobster balls no sandusky french fries nd a nice big quahog clam for  httptcouajukcoafv,0,non_offensive
10,one night stand you all hoes you all aint nothing more,1,offensive
11,my reaction when a spoiled white kid says nigga like they a thug     httptcofzvwc7askw,1,offensive
12,    i swear a yung nigga use to wanna be a heartbreak kid     shawn micheals amp razor ramon both had bitches,1,offensive
13,  bitch im 57 12 smd hoe,1,offensive
14,    lame dude anyway   bitch bye       dawg look at this shit httptcofu4dbqeotn,1,offensive
15,all the bitches in shameless are straight bugoutsss,1,offensive
16,        shit nigga do not complain now you got room for hella nudes from hoes  trueeee i will hy ,1,offensive
17,cause all my life i was told and taught i am not shit by you wack fucking giant sacks of lying dog shit now you shut up bitch,1,offensive
18,word to ray rice     if i marry you aint gone be no divorces bitch only way outta this is in a box or in handcuffs ,1,offensive
19,i been fucked that hoe she a nobody,1,offensive
20,  thanks ya fucking hoser,1,offensive
21,i get more nudes than all you bitches  ,1,offensive
22,  you would not last a day there hoe,1,offensive
23,  rate my hoe  ,1,offensive
24,  but no joke i will say no it is not an oleander and wife will say son of a bitch ron yes the hell it is get out your book,1,offensive
25,      when you are trying to relax but your pussy is shooting out light beams httptco5ehbmr8tko,1,offensive
26,also it  a hiccup to jihadi propaganda they portray themselves as the only ones willing to die for their cause,0,non_offensive
27,    females will mess with a guy who has a girlfriend but will not mess with a single guy cause he has too many hoes,1,offensive
28,just started my upgrade for the level 2 dark elixer drill 1500000 elixer that was a bitch to get,1,offensive
29,  haahaa dumb bitch,1,offensive
30,        the xbox one would be so much cooler if they put a bird on it,0,non_offensive
31,  bitch i know you seen me tweet bout you,1,offensive
32,22 talented drivers     i am really glad there have not been any yellows but why have not there been any yellows,0,non_offensive
33,  now i am chewy high with a hard ass dick ooh there goes my pager could it be a trick bitch,1,offensive
34,    bitch you a hoe check yo dms   can i get a new follower   httptcomv4mkhea1g ,1,offensive
35,i spent my whole 4th lookin for my hoes missed the fireworks and all before i realized i did not have any hoes  ,1,offensive
36,  but you were too busy being a raging bitch and not caring that your best friend was going through hell so there is my punch  ,1,offensive
37,    too pussy or what,1,offensive
38,got a iphone for business but the sidekick is for the bitches  ,1,offensive
39,    how original you faggots ,1,offensive
40,1 more day bitches,1,offensive
41,my bitch say i am in the dog house fuck you mean,1,offensive
42,   holy shit freddie highmore was in charlie and the chocolate factoryme rolls on the floor laughing,1,offensive
43,brag to you about the hoes he hittin and when you ask for a pic he show you some sorry ass female then all you can do is laugh,1,offensive
44,phaedra is gonna drop apollo like mariah did when da brat went to prison these hoes aint loyal,1,offensive
45,cannot stand when i see a female just get out of relationship amp 2 days later their talking to another guy  hoes gonna be hoes smh,1,offensive
46,always thought golden oreos were the same as original oreos but oh my god i just climaxed,0,non_offensive
47,i think women will forever find a way for a guy to be thirsty tho just so they can feel like thier pussy has some value it do not,1,offensive
48,and by yall i mean whoever running back telling tunchi wtf i am doing that is not my nigga dog niggas nd bitches  ,1,offensive
49,  not one single bone in my body gives a fuck about what the next bitch thinks  ,1,offensive
50,    lmao dis bitch dumb asl httptcoo0rraj8vij,1,offensive
51,this nigga solving rubik cubes doing magic tricks amp he still aint getting no pussy  ,1,offensive
52,      when the trash bag is so full  you can barely tie it  httptcootzfiqmwi0  sttooopp ,0,non_offensive
53, bitch caught a body about a week ago  fuck with us and we get to tweekin hoe  run up on that niggah get to httptcoav9ypjtwxn,1,offensive
54,  thought retard,1,offensive
55,i remember laying on a hospital bed after being shot ranting about how coconut shrimp was trash,0,non_offensive
56,  id break that little bitches finger,1,offensive
57,    bill maher mocks gullible america for missing the real enemy httptcoapnsvg35uf,0,non_offensive
58,houston has so many trash drivers,0,non_offensive
59,  niggah lol i had 6 beers before i went to the bar then had 4 beers at the bar then got a 12pck on the way home lool,1,offensive
60,i am a celestial body hello httptcoykdrm9ax69,0,non_offensive
61,  the slopes are not for us bro hahaha,0,non_offensive
62,          how ghetto girls pronounce there names i could cry right now oh my god httpstcozycuodiwkz ,1,offensive
63,    oh you mean like how you started to be a cunt to jp about something that has nothing to do with you,1,offensive
64,it stink in this bitch it must be them pussy ass niggas talkin shit,1,offensive
65,i am sick of you hoes for real i got somebody that looks up to me so i aint bout no pussy shit,1,offensive
66,just straight ignorant bitches  ,1,offensive
67,    one mans trash is another mans treasureperfectly explains strippers with daddy issues,0,non_offensive
68,my little sisters kik name is thot ass thotwhy all my sister have to be freak hoes,1,offensive
69,    go talk to your other hoes httptco1h08fxpkkq,1,offensive
70,i think its funny how hoes talk bout being faithful,1,offensive
71,    and if you aint a hoe get up out my traphouseeee httptcogfohputvhp,1,offensive
72,    eat mangos get bitchesto be honest i do not do either of these ,1,offensive
73,dress shirt saggy jeans backwards yankee hat now that is lifting swag,0,non_offensive
74,    if i can eat some random bitches ass i can eat iggys ass      ,1,offensive
75,should i tell this hoe who she look like cdfuuu,1,offensive
76,    when u go through baes phone amp there is no hoes on there httptcocyejv5l608,1,offensive
77,i am not defending ray rice but that double standard is a bitch aint it httptcoplkfb3lnem,1,offensive
78,damn girl i will be your porch monkey,1,offensive
79,    yea bitch ,1,offensive
80,  not only that after he pushed him he stepped back lolol that was some pussy shit,1,offensive
81,  rico be bored then a bitch  boy you watch me more than these hoes do,1,offensive
82,well i want to be victorias secret dyke angel ,1,offensive
83,yo daddy is a bitch you jus a son of that boyyy,1,offensive
84, i just feel like my mouthpiece so cold   i will give lessons to every niggah that ever got turned down  for the low cost of 2499   hmu ,1,offensive
85,    mike napoli is the toughest son of a bitch i have ever known,1,offensive
86,    you sure do have a pretty face for a cripple,0,non_offensive
87,  viva brazil niggah lol,1,offensive
88,  yes why protest about sexism then go right home and beg for a guy to beat your pussy up im lost at times,1,offensive
89,my niggah my niggah,1,offensive
90,my roommate is eating so obnoxiously i wanna fucking slit his throat,1,offensive
91,when i see a super bad bitch and she happen to be from my city i just feel the need to shoot my shot,1,offensive
92,  and smoke weed in public fuck cops man do what you wanna do they do not own you run if they come are you retarded,1,offensive
93,  nah i would never ask a guy to ride down on a chick what is the use of getting him in trouble for a trashass bitch,1,offensive
94,    ladies if your pussy sounds like this please hit my dms i need you for a science project   httpstcoxr0hgold5m,1,offensive
95,once you hate someone everything they do is offensive look at this bitch eating those crackers like she own the damn place,1,offensive
96,300 bitch we hot we done took flight ,1,offensive
97,if anyone reviews a 5 game loan player you are a cunt shouldnt be doing 5 game reviews especially at the start of fifa,1,offensive
98,    and retarded,1,offensive
99,  so much hoes,1,offensive
100,  my precious gook baby     httptco2qjljj6tk5,0,non_offensive
101,    whens homecoming ho  slut the 17th,1,offensive
102,    morgan park kids like to pop fire crackers in the school now,0,non_offensive
103,    can someone show hailie this tweet   bitch blocked me   httpstcovlpr7tmcas,1,offensive
104,  i am talkin bout sluts and hoes in general,1,offensive
105,    do not be a pussy grab the booty love the booty appreciate the booty,1,offensive
106,    this bitch is fucking insane   2 what is a sentence that describes you in 5 words ,1,offensive
107,    james nobody save a couple illiterate inbred teabagger morons gives a flying fuck about your revelations,1,offensive
108,i like weed brownies and cookies im straight but seein crooked got muh trippy kit hope i trip and fal into some pussy  ,1,offensive
109,  i said something to you gorilla stop listening to monkey music,1,offensive
110,why is my mother bothering me about the trash it is my day off leave me alone and stop nagging,0,non_offensive
111,this lit bitch jayonna in the class im an aide in is sooo funny,1,offensive
112,  haha not you just getting shit from everyone else when my second favorite team is the redlegs,1,offensive
113,crank up a little hank sit on the hood and drink i am about to get my redneck on,1,offensive
114,      i just do not wanna get looked at funny when i say nigger in public,1,offensive
115,pollos a lastdos pollos estaban dando vueltas en una poller  mientras los estaban cocinando a last cuando httptcofxeeajmyfz,0,non_offensive
